"age","net","gun","sex","year","previous","nruns","start_position","orig.id"
30,86.82,89.85,"M",2003,0,4,"mellow","7706"
33,113.1,117.8,"M",2002,1,3,"mellow","5653"
33,88.58,89.45,"M",2005,1,3,"eager","4018"
46,74.05,74.93,"M",2002,0,3,"eager","8028"
45,88.52,89.2,"M",2000,1,4,"eager","7468"
51,83.73,87.32,"M",2001,0,3,"mellow","14766"
32,81.4,87.9,"M",2005,3,5,"mellow","2945"
44,69,69.13,"F",2006,1,4,"eager","10805"
37,78.43,79.97,"M",2004,1,4,"calm","2439"
46,101.2,111,"F",2006,1,4,"mellow","13616"
28,81.2,84.5,"M",2000,1,5,"mellow","3151"
31,84.45,85.55,"F",2004,3,6,"calm","10493"
51,105.1,110.5,"M",2002,2,5,"mellow","13595"
40,70.38,74.15,"M",2002,1,3,"mellow","3308"
44,83.28,83.58,"M",2004,5,10,"eager","1038"
28,106.5,114.7,"F",2006,1,4,"mellow","9019"
48,79.12,79.62,"M",2004,5,9,"eager","3477"
28,69.83,70.42,"M",2002,0,5,"eager","11211"
44,73.35,73.85,"M",2005,6,7,"eager","12410"
58,66.07,66.3,"M",2000,1,3,"eager","7697"
27,86.23,92.37,"M",2005,1,4,"mellow","7709"
33,76.72,77.53,"M",2003,2,5,"eager","3699"
42,91.88,98.77,"M",2004,2,4,"mellow","16979"
45,79.12,79.65,"M",2003,1,4,"eager","9688"
36,81.63,85.17,"F",2005,3,6,"mellow","4891"
37,79.67,85.67,"M",2003,0,5,"mellow","6010"
26,86.62,92.68,"M",2005,0,4,"mellow","6582"
47,71.63,72.15,"M",2004,1,3,"eager","3983"
39,99.28,107.6,"F",2005,0,3,"mellow","920"
38,90.58,96.18,"F",2001,1,3,"mellow","8972"
36,101.2,103.4,"F",2000,1,9,"calm","9185"
66,95.8,99.55,"M",2000,1,6,"mellow","4265"
50,77.58,78.85,"M",2001,2,3,"calm","14708"
31,102.4,107,"F",2002,1,3,"mellow","7575"
34,79.67,81.42,"M",2005,1,3,"calm","3459"
26,111.2,114.4,"F",2004,1,4,"mellow","11727"
53,76.88,77.85,"M",2006,0,3,"eager","14696"
44,104.4,108.5,"F",2001,1,7,"mellow","4075"
45,117.4,121.7,"F",2005,3,4,"mellow","6604"
24,86.68,92.68,"M",2005,1,3,"mellow","13815"
33,94.78,96.87,"F",2003,0,5,"calm","260"
34,86.1,88.08,"M",2001,1,6,"calm","8606"
50,79.63,80.43,"M",2005,0,3,"eager","14643"
31,79.23,79.93,"F",2000,1,4,"eager","4323"
54,94.97,99.3,"M",2002,0,3,"mellow","13826"
38,85.67,90.47,"M",2004,3,4,"mellow","3487"
31,97.07,102.3,"F",2004,1,3,"mellow","10602"
40,83.15,84.75,"M",2006,4,6,"calm","4029"
