"","X","age","net","gun","sex","year","nruns","runs_again"
"117",487,38,68.02,68.43,"M",2004,4,TRUE
"118",491,36,79.78,82.23,"M",2003,3,FALSE
"119",494,34,73.2,75.28,"M",2001,6,TRUE
"120",500,35,57.63,57.7,"M",2002,6,TRUE
"121",506,55,89.37,91.75,"M",2003,4,TRUE
"122",510,28,NA,86.17,"F",2008,3,FALSE
"123",513,28,86.77,89.88,"F",2005,3,FALSE
"124",516,38,100,108.1,"F",2005,4,TRUE
"125",520,38,NA,92.78,"F",2008,3,FALSE
"126",523,29,87.67,90.73,"F",2005,3,FALSE
"127",526,33,79,82.37,"F",2002,3,FALSE
"128",529,30,109.7,111.3,"F",2002,3,FALSE
"129",532,39,NA,108.6,"F",2008,3,FALSE
"130",535,32,NA,65.28,"F",2007,3,FALSE
"131",538,45,NA,112.3,"F",2007,4,TRUE
"132",542,43,96.75,98.55,"F",2001,3,FALSE
"133",545,67,86.07,87.03,"M",2003,4,TRUE
"134",549,50,98.83,107,"M",2006,5,TRUE
"135",554,21,NA,56.95,"M",2007,3,FALSE
"136",557,27,95.43,97.8,"F",2003,6,TRUE
"137",563,32,99.63,105.1,"F",2003,7,TRUE
"138",570,27,NA,87.7,"F",2008,3,FALSE
"139",573,27,129.7,135.7,"F",2003,7,TRUE
"140",580,33,NA,100.4,"F",2008,3,FALSE
"141",583,29,71.68,72.53,"F",2004,3,FALSE
"142",586,26,NA,118,"F",2008,3,FALSE
"143",589,26,103.3,107.6,"F",2004,4,TRUE
"144",593,27,107.2,116.5,"F",2006,3,FALSE
"145",596,34,104.9,107,"F",2005,3,FALSE
"146",599,37,71.37,71.62,"F",2006,4,TRUE
"147",603,46,NA,68.72,"M",2008,3,FALSE
"148",606,37,75.2,75.62,"F",2004,3,FALSE
"149",609,30,73.45,73.93,"F",2006,5,TRUE
"150",614,37,96.18,99.45,"F",2006,3,FALSE
"151",617,34,NA,NA,"F",2007,4,TRUE
"152",621,32,NA,84.25,"F",2007,3,FALSE
"153",624,26,NA,90.83,"F",2007,3,FALSE
"154",627,32,NA,NA,"F",2007,4,TRUE
"155",631,45,NA,90.25,"F",2008,3,FALSE
"156",634,31,105.8,109.3,"F",2005,3,FALSE
"157",637,27,99.6,107.1,"F",2001,7,TRUE
"158",644,31,82.08,82.63,"F",2002,3,FALSE
"159",647,34,NA,91.28,"F",2008,3,FALSE
"160",650,30,83.12,85.05,"F",2003,3,FALSE
"161",653,32,NA,97.83,"F",2008,3,FALSE
"162",656,27,83.68,86.8,"F",2005,5,TRUE
"163",661,30,96.43,102,"F",2003,3,FALSE
"164",664,31,91.07,96.85,"F",2006,3,FALSE
"165",667,50,120.5,125.4,"F",2004,3,FALSE
"166",670,31,NA,83.72,"F",2008,3,FALSE
"167",673,29,80.2,80.62,"F",2001,7,TRUE
"168",680,30,130,138.5,"F",2006,3,FALSE
"169",683,44,89.48,90.67,"F",2002,5,TRUE
"170",688,35,104.2,112.1,"F",2005,5,TRUE
"171",693,28,75.13,76.33,"F",2001,7,TRUE
"172",700,31,88.38,96.52,"F",2005,5,TRUE
"173",705,42,101.9,105.3,"F",2005,3,FALSE
"174",708,32,106.6,113.4,"F",2004,3,FALSE
"175",711,49,88.8,93.28,"F",2002,5,TRUE
"176",716,29,NA,101.4,"F",2007,3,FALSE
"177",719,32,NA,81.17,"F",2007,3,FALSE
"178",722,46,77.05,78.95,"F",2002,6,TRUE
"179",728,35,105.5,109.4,"F",2001,3,FALSE
"180",731,28,114.4,120,"F",2002,5,TRUE
"181",736,37,114,117.6,"F",2004,4,TRUE
"182",740,36,NA,76.3,"F",2008,3,FALSE
"183",743,30,92.48,94.7,"F",2005,3,FALSE
"184",746,43,NA,80.43,"F",2008,3,FALSE
"185",749,36,85.7,87.05,"F",2003,4,TRUE
"186",753,27,71.15,71.45,"M",2005,3,FALSE
"187",756,33,74.8,75.42,"M",2002,5,TRUE
"188",761,54,91.42,92.32,"F",2002,3,FALSE
"189",764,25,97.88,104.2,"F",2006,5,TRUE
"190",769,31,NA,96.77,"F",2007,3,FALSE
"191",772,51,NA,99.35,"F",2007,3,FALSE
"192",775,51,NA,90.62,"F",2007,4,TRUE
"193",779,40,NA,105.3,"F",2008,3,FALSE
"194",782,47,NA,103.3,"F",2008,3,FALSE
"195",785,34,93.77,99.65,"F",2003,4,TRUE
"196",789,32,92.97,99.38,"F",2006,3,FALSE
"197",792,29,105.4,113.4,"F",2005,3,FALSE
"198",795,25,82.85,88.52,"F",2005,3,FALSE
"199",798,30,108.2,110.1,"F",2005,3,FALSE
"200",801,41,100.8,102.8,"F",2006,3,FALSE
"201",804,40,78.75,80.58,"M",2004,4,TRUE
"202",808,39,92.82,95.67,"M",2001,9,TRUE
"203",817,33,71.08,72.23,"M",2001,3,FALSE
"204",820,39,76.22,76.67,"M",2003,3,FALSE
"205",823,32,88.37,93.53,"M",2005,5,TRUE
"206",828,45,91.4,94.92,"M",2004,4,TRUE
"207",832,42,71.68,72.65,"M",2001,5,TRUE
"208",837,15,74.95,75.48,"M",2001,4,TRUE
"209",841,45,90.73,93.58,"M",2004,5,TRUE
"210",846,43,83.58,84,"M",2003,4,TRUE
"211",850,41,69.05,69.05,"M",2005,3,FALSE
"212",853,24,74.12,74.63,"M",2006,4,TRUE
"213",857,30,69,69.38,"M",2005,3,FALSE
"214",860,45,86.07,91.7,"M",2006,3,FALSE
"215",863,44,69.15,69.52,"M",2001,5,TRUE
"216",868,34,NA,94.38,"M",2007,4,TRUE
"217",872,47,74.38,74.6,"M",2005,4,TRUE
"218",876,38,83.65,93.52,"M",2001,6,TRUE
"219",882,41,88.32,90.17,"M",2006,3,FALSE
"220",885,35,87.37,89.48,"M",2004,5,TRUE
"221",890,39,88.62,92.35,"M",2002,5,TRUE
"222",895,26,68.9,73.43,"M",2006,4,TRUE
"223",899,35,NA,60.43,"M",2007,3,FALSE
"224",902,32,98.62,105.2,"M",2004,3,FALSE
"225",905,36,61.78,61.9,"M",2001,5,TRUE
"226",910,27,NA,74.7,"M",2008,3,FALSE
"227",913,41,97.87,107.7,"M",2006,5,TRUE
"228",918,34,93.45,99.08,"M",2004,3,FALSE
"229",921,39,55.93,55.98,"M",2003,8,TRUE
"230",929,31,NA,73.68,"M",2007,3,FALSE
"231",932,38,NA,90.22,"M",2008,3,FALSE
"232",935,29,NA,87.15,"M",2008,3,FALSE
"233",938,54,88.12,94.8,"M",2003,7,TRUE
"234",945,43,NA,93.47,"M",2007,3,FALSE
"235",948,27,88.75,95.05,"M",2005,3,FALSE
"236",951,27,78.22,79.7,"M",2005,5,TRUE
"237",956,28,74.32,76.6,"M",2006,3,FALSE
"238",959,28,NA,86.97,"M",2008,3,FALSE
"239",962,46,82.6,84.57,"M",2002,8,TRUE
"240",970,39,NA,79.63,"M",2008,3,FALSE
"241",973,33,100.7,101.4,"M",2005,3,FALSE
"242",976,43,NA,90.82,"M",2008,3,FALSE
"243",979,31,77.98,78.95,"M",2001,3,FALSE
"244",982,42,145.8,153.8,"M",2005,5,TRUE
"245",987,41,73,73.38,"M",2001,6,TRUE
"246",993,42,108.3,114.1,"F",2001,3,FALSE
"247",996,29,NA,95.07,"F",2007,4,TRUE
"248",1000,29,106.1,113.3,"F",2004,3,FALSE
"249",1003,31,99.27,101.7,"F",2001,9,TRUE
"250",1012,60,119.3,123.1,"F",2004,5,TRUE
"251",1017,35,125.6,130.9,"F",2003,3,FALSE
"252",1020,35,75.78,79.17,"F",2006,5,TRUE
"253",1025,35,111.5,119.1,"F",2006,3,FALSE
"254",1028,37,113.9,117.6,"F",2004,4,TRUE
"255",1032,26,110.7,116.8,"F",2005,3,FALSE
"256",1035,26,NA,93.85,"F",2008,3,FALSE
"257",1038,27,91.62,94.78,"F",2006,4,TRUE
"258",1042,39,88.9,89.57,"F",2002,4,TRUE
"259",1046,35,NA,99.15,"F",2007,4,TRUE
"260",1050,34,NA,73.43,"M",2008,3,FALSE
"261",1053,38,NA,83.73,"M",2007,3,FALSE
"262",1056,49,NA,107,"M",2008,3,FALSE
"263",1059,33,103.3,106,"F",2001,7,TRUE
"264",1066,37,83.4,89.12,"F",2004,3,FALSE
"265",1069,34,101.2,103.7,"F",2003,3,FALSE
"266",1072,31,86.93,92.05,"F",2005,3,FALSE
"267",1075,47,NA,86.2,"F",2007,3,FALSE
"268",1078,33,NA,108.7,"F",2008,3,FALSE
"269",1081,39,NA,97.25,"F",2008,3,FALSE
"270",1084,42,NA,119.4,"F",2007,3,FALSE
"271",1087,35,95.87,104,"F",2006,4,TRUE
"272",1091,41,96.88,101.6,"F",2003,3,FALSE
"273",1094,42,96.62,99.75,"F",2003,3,FALSE
"274",1097,41,NA,115.1,"F",2007,3,FALSE
"275",1100,30,86.07,91.9,"F",2005,3,FALSE
"276",1103,35,110.1,115.9,"F",2005,4,TRUE
"277",1107,31,62.65,62.73,"F",2005,4,TRUE
"278",1111,49,120.3,125.6,"F",2005,4,TRUE
"279",1115,38,73.63,74.42,"F",2002,9,TRUE
"280",1124,48,93.35,97.78,"F",2001,8,TRUE
"281",1132,50,99.25,103,"F",2003,3,FALSE
"282",1135,30,95.87,99.43,"F",2004,3,FALSE
"283",1138,67,100.2,100.4,"F",2004,3,FALSE
"284",1141,39,88.7,92.3,"F",2003,3,FALSE
"285",1144,25,NA,98.97,"F",2008,3,FALSE
"286",1147,27,NA,87.05,"F",2007,3,FALSE
"287",1150,25,NA,85.52,"F",2007,3,FALSE
"288",1153,30,86.48,87.85,"F",2003,3,FALSE
"289",1156,29,NA,113.2,"F",2008,3,FALSE
"290",1159,25,NA,97.72,"F",2008,3,FALSE
"291",1162,27,NA,80.75,"F",2008,3,FALSE
"292",1165,32,104,106.4,"F",2001,4,TRUE
"293",1169,28,NA,79.73,"F",2007,3,FALSE
"294",1172,47,87.18,90.95,"F",2001,3,FALSE
"295",1175,31,NA,109.2,"F",2008,3,FALSE
"296",1178,55,87.85,91.37,"F",2005,6,TRUE
"297",1184,48,96.73,100.4,"F",2002,3,FALSE
"298",1187,28,114.6,119.3,"F",2004,4,TRUE
"299",1191,36,NA,90.55,"F",2007,4,TRUE
"300",1195,43,84.68,90.92,"F",2005,3,FALSE
"301",1198,52,108.1,115.8,"F",2004,3,FALSE
"302",1201,38,99.12,103.5,"F",2003,4,TRUE
"303",1205,33,86.98,91.18,"F",2005,3,FALSE
"304",1208,26,99.07,101.2,"F",2001,3,FALSE
"305",1211,39,NA,106.7,"F",2007,4,TRUE
"306",1215,34,91.47,94.5,"F",2001,7,TRUE
"307",1222,26,NA,113,"F",2007,4,TRUE
"308",1226,32,98.53,101.1,"F",2002,4,TRUE
"309",1230,43,103.3,105.8,"F",2005,3,FALSE
"310",1233,37,81.57,87.32,"F",2001,4,TRUE
"311",1237,49,105.1,110.2,"F",2002,4,TRUE
"312",1241,41,78.97,80.6,"F",2004,4,TRUE
"313",1245,53,NA,105.9,"F",2007,3,FALSE
"314",1248,42,NA,89.72,"F",2008,3,FALSE
"315",1251,45,NA,97,"F",2008,3,FALSE
"316",1254,33,90.47,93.83,"F",2004,6,TRUE
"317",1260,32,NA,83.77,"F",2008,3,FALSE
"318",1263,63,NA,112.5,"F",2008,3,FALSE
"319",1266,26,71.02,71.15,"F",2006,3,FALSE
"320",1269,42,56.17,56.18,"M",2001,3,FALSE
"321",1272,29,56.53,56.6,"M",2002,3,FALSE
"322",1275,44,102.2,103.2,"M",2004,4,TRUE
"323",1279,55,NA,72.38,"M",2008,3,FALSE
"324",1282,25,55.15,55.18,"M",2004,5,TRUE
"325",1287,43,82.53,83.47,"M",2001,9,TRUE
"326",1296,41,88.8,92.13,"M",2002,4,TRUE
"327",1300,31,104.1,106.9,"M",2005,3,FALSE
"328",1303,49,82.72,84.45,"M",2001,3,FALSE
"329",1306,42,88.05,96.18,"M",2005,4,TRUE
"330",1310,50,75.87,78.1,"M",2003,5,TRUE
"331",1315,42,80.4,80.95,"M",2003,4,TRUE
"332",1319,44,NA,104.1,"M",2008,3,FALSE
"333",1322,36,133.4,140.7,"M",2004,3,FALSE
"334",1325,38,92.08,96.37,"M",2002,5,TRUE
"335",1330,63,72.07,72.17,"M",2002,4,TRUE
"336",1334,44,NA,87.22,"M",2008,3,FALSE
"337",1337,55,NA,77.67,"M",2007,4,TRUE
"338",1341,48,94.38,95.82,"M",2001,5,TRUE
"339",1346,17,NA,91.63,"M",2008,3,FALSE
"340",1349,49,NA,76.4,"M",2008,3,FALSE
"341",1352,48,82.63,82.95,"M",2001,5,TRUE
"342",1357,35,NA,87.57,"M",2008,3,FALSE
"343",1360,36,79.75,80.93,"M",2003,3,FALSE
"344",1363,37,NA,86.82,"M",2008,3,FALSE
"345",1366,32,91.43,99.68,"M",2006,4,TRUE
"346",1370,46,63.55,63.65,"M",2001,5,TRUE
"347",1375,63,69.85,70.05,"M",2001,7,TRUE
"348",1382,61,95.38,96.45,"M",2002,6,TRUE
"349",1388,37,75.47,76.05,"M",2001,4,TRUE
"350",1392,59,81.9,82.28,"M",2002,5,TRUE
"351",1397,39,79.18,79.98,"M",2003,4,TRUE
"352",1401,41,85.72,85.72,"M",2001,10,TRUE
"353",1411,52,70.82,71.52,"M",2001,5,TRUE
"354",1416,47,NA,107.6,"M",2007,3,FALSE
"355",1419,34,80.9,82.45,"M",2002,8,TRUE
"356",1427,37,NA,98.63,"M",2008,3,FALSE
"357",1430,34,76.43,81.93,"M",2006,3,FALSE
"358",1433,28,85.23,87.12,"F",2001,6,TRUE
"359",1439,29,NA,88.85,"F",2008,3,FALSE
"360",1442,29,93.67,98.95,"F",2006,4,TRUE
"361",1446,32,86.25,87.57,"F",2002,3,FALSE
"362",1449,27,114.4,118.8,"F",2005,3,FALSE
"363",1452,32,NA,83.87,"F",2008,3,FALSE
"364",1455,24,82.53,83.7,"F",2003,4,TRUE
"365",1459,31,97.17,103.3,"M",2004,3,FALSE
"366",1462,47,81.12,81.68,"M",2002,8,TRUE
"367",1470,36,NA,80.48,"M",2007,3,FALSE
"368",1473,28,NA,85.97,"F",2007,3,FALSE
"369",1476,63,80.7,80.83,"M",2002,5,TRUE
"370",1481,17,87.8,91.57,"M",2006,3,FALSE
"371",1484,30,NA,101,"F",2007,4,TRUE
"372",1488,65,NA,104.9,"F",2008,3,FALSE
"373",1491,43,93.18,94.83,"F",2002,3,FALSE
"374",1494,50,85.62,86.88,"F",2001,3,FALSE
"375",1497,44,NA,95.72,"F",2007,4,TRUE
"376",1501,53,79.85,80.17,"F",2001,3,FALSE
"377",1504,44,92.8,99.8,"F",2005,4,TRUE
"378",1508,36,73.88,79.42,"F",2001,7,TRUE
"379",1515,61,106.4,109.7,"F",2003,3,FALSE
"380",1518,44,NA,93.93,"F",2008,3,FALSE
"381",1521,43,97.77,99.72,"F",2004,4,TRUE
"382",1525,60,89.87,90.4,"F",2001,5,TRUE
"383",1530,42,84.65,86.72,"F",2001,3,FALSE
"384",1533,39,75.62,76.85,"F",2002,4,TRUE
"385",1537,36,83.37,85.67,"F",2004,4,TRUE
"386",1541,27,NA,111.2,"F",2008,3,FALSE
"387",1544,32,NA,99.43,"M",2008,3,FALSE
"388",1547,39,65.47,65.6,"M",2003,3,FALSE
"389",1550,49,79.13,79.52,"M",2002,3,FALSE
"390",1553,55,78.18,78.88,"M",2003,8,TRUE
"391",1561,37,106.4,113.5,"M",2002,7,TRUE
"392",1568,51,97.63,103,"M",2001,7,TRUE
"393",1575,54,76.93,79.15,"M",2004,4,TRUE
"394",1579,45,79.75,80.97,"M",2006,3,FALSE
"395",1582,49,97.65,103.4,"M",2005,3,FALSE
"396",1585,38,85.93,94.4,"M",2005,5,TRUE
"397",1590,48,91.72,92.38,"M",2006,3,FALSE
"398",1593,53,92.42,99.33,"M",2006,4,TRUE
"399",1597,28,NA,73.07,"M",2008,3,FALSE
"400",1600,45,76.15,76.15,"M",2005,3,FALSE
"401",1603,34,78.92,81.12,"M",2004,6,TRUE
"402",1609,51,100.3,106.4,"F",2003,5,TRUE
"403",1614,27,NA,96.58,"F",2007,3,FALSE
"404",1617,25,72.55,73.18,"F",2003,4,TRUE
"405",1621,47,79.3,83.63,"F",2006,3,FALSE
"406",1624,35,67.18,67.27,"F",2001,8,TRUE
"407",1632,57,66.2,66.3,"M",2001,3,FALSE
"408",1635,44,NA,65.03,"M",2007,4,TRUE
"409",1639,66,79.13,79.13,"M",2005,3,FALSE
"410",1642,39,74.87,88.68,"M",2001,4,TRUE
"411",1646,32,NA,66.87,"M",2008,3,FALSE
"412",1649,30,NA,58.88,"M",2007,3,FALSE
"413",1652,24,75.7,76.63,"M",2004,5,TRUE
"414",1657,48,68.93,69.35,"M",2005,4,TRUE
"415",1661,58,83.13,84.38,"M",2004,4,TRUE
"416",1665,26,65.6,65.72,"M",2003,3,FALSE
"417",1668,52,67.3,67.47,"M",2002,9,TRUE
"418",1677,26,106.4,106.4,"F",2004,5,TRUE
"419",1682,45,89.2,94.88,"M",2001,10,TRUE
"420",1692,35,70.5,71.95,"M",2003,3,FALSE
"421",1695,51,89.93,92.85,"M",2003,3,FALSE
"422",1698,58,97.92,99.98,"M",2005,3,FALSE
"423",1701,44,85.22,88.77,"M",2002,4,TRUE
"424",1705,40,NA,85.95,"F",2007,4,TRUE
"425",1709,48,108.7,115,"F",2004,3,FALSE
"426",1712,25,101.1,105,"F",2001,3,FALSE
"427",1715,39,NA,76.25,"F",2008,3,FALSE
"428",1718,52,92.22,95.7,"F",2003,5,TRUE
"429",1723,50,102.6,107.6,"F",2003,3,FALSE
"430",1726,51,92.3,93.23,"F",2003,5,TRUE
"431",1731,41,65.57,65.82,"F",2001,4,TRUE
"432",1735,33,67.45,67.65,"F",2003,6,TRUE
"433",1741,42,107.2,110.7,"F",2003,3,FALSE
"434",1744,41,79.97,80.43,"F",2006,5,TRUE
"435",1749,43,101.7,104,"F",2005,4,TRUE
"436",1753,37,115.6,118.7,"F",2005,3,FALSE
"437",1756,43,76.03,76.35,"F",2003,4,TRUE
"438",1760,32,NA,113.3,"F",2008,3,FALSE
"439",1763,54,94.48,99.92,"F",2005,4,TRUE
"440",1767,33,96.35,98.52,"F",2003,3,FALSE
"441",1770,38,88.17,90.13,"F",2003,4,TRUE
"442",1774,48,68.2,68.27,"F",2001,10,TRUE
"443",1784,58,79.12,79.63,"F",2003,3,FALSE
"444",1787,64,98.67,98.67,"F",2005,6,TRUE
"445",1793,46,NA,75.6,"F",2007,3,FALSE
"446",1796,33,100.3,102.4,"F",2005,4,TRUE
"447",1800,53,112.3,117.9,"F",2005,3,FALSE
"448",1803,29,NA,95.17,"F",2008,3,FALSE
"449",1806,48,94.15,99.42,"F",2005,4,TRUE
"450",1810,27,109.1,114.9,"F",2005,3,FALSE
"451",1813,36,NA,108,"M",2007,4,TRUE
"452",1817,53,86.08,89.27,"M",2003,6,TRUE
"453",1823,38,69.35,69.85,"M",2003,5,TRUE
"454",1828,46,69.15,69.57,"M",2003,3,FALSE
"455",1831,40,81.32,82.82,"M",2006,3,FALSE
"456",1834,53,102.3,109.2,"M",2004,4,TRUE
"457",1838,70,114.9,122.8,"M",2004,4,TRUE
"458",1842,50,95.63,98.73,"M",2002,3,FALSE
"459",1845,38,67.32,67.5,"M",2004,4,TRUE
"460",1849,41,94.4,103,"M",2006,4,TRUE
"461",1853,35,NA,77.4,"M",2007,3,FALSE
"462",1856,47,75.87,81.32,"M",2005,3,FALSE
"463",1859,46,73.45,74.48,"M",2004,3,FALSE
"464",1862,55,97.85,100.4,"M",2003,5,TRUE
"465",1867,51,76.65,76.9,"M",2002,3,FALSE
"466",1870,59,84.98,85.37,"M",2002,7,TRUE
"467",1877,28,85.68,90.17,"M",2006,5,TRUE
"468",1882,34,NA,94.18,"M",2007,3,FALSE
"469",1885,77,117.9,118.9,"M",2004,3,FALSE
"470",1888,26,74.25,76.33,"M",2006,4,TRUE
"471",1892,47,99.38,102.9,"M",2003,4,TRUE
"472",1896,45,63.95,64.12,"M",2001,4,TRUE
"473",1900,58,86.45,86.93,"M",2001,5,TRUE
"474",1905,52,NA,59.05,"M",2007,3,FALSE
"475",1908,60,92.02,98.23,"M",2006,3,FALSE
"476",1911,53,74,74.05,"M",2001,9,TRUE
"477",1920,47,73.18,75.57,"M",2006,4,TRUE
"478",1924,61,85.8,86.07,"M",2001,10,TRUE
"479",1934,41,108.7,118,"M",2006,3,FALSE
"480",1937,60,NA,97.47,"M",2008,3,FALSE
"481",1940,52,79.18,80.47,"M",2001,8,TRUE
"482",1948,32,NA,81.02,"M",2007,3,FALSE
"483",1951,36,93.32,98.6,"M",2005,3,FALSE
"484",1954,34,NA,82.78,"M",2008,3,FALSE
"485",1957,29,NA,88.42,"M",2008,3,FALSE
"486",1960,37,86.92,88.83,"M",2001,3,FALSE
"487",1963,30,NA,84.65,"M",2007,4,TRUE
"488",1967,37,NA,86.48,"M",2007,3,FALSE
"489",1970,43,87.67,89.95,"M",2006,4,TRUE
"490",1974,45,NA,102.5,"F",2007,3,FALSE
"491",1977,61,NA,119.4,"M",2008,3,FALSE
"492",1980,40,NA,94.68,"M",2007,3,FALSE
"493",1983,40,82.35,85.15,"F",2002,9,TRUE
"494",1992,57,81.03,81.6,"M",2001,4,TRUE
"495",1996,61,91.28,97.85,"M",2002,7,TRUE
"496",2003,39,127.8,133.4,"M",2003,3,FALSE
